title,month(cout),day(cout),hour(cout),minute(cout),month(cin),day(cin),hour(cin),minute(cin),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Seven magic brothers a Chinese folktake",1,9,15,4,1,10,15,25,398.20951,1
"Predator and prey",1,3,17,6,1,10,15,29,591.53,6
"Rockin dance party",1,3,15,40,1,10,17,27,649.68,7
"Im a potty princess potty training for girls",1,3,15,40,1,10,17,27,649.62,7
"Professor Parrot speaks Spanish We are friends Somos amigos",1,7,13,6,1,10,17,36,468.2421,3
"Activity TV Magic Vol 2",1,3,17,53,1,10,18,40,793.8,7
"Hot potatoes the best of the Wiggles",1,8,12,37,1,11,10,13,782.42083,2
"Wiggles Racing to the rainbow",1,8,12,38,1,11,10,13,782.42083,2
"Predator and prey",1,4,12,27,1,11,10,16,591.53,6
"Get fit America for kids",1,9,18,15,1,11,10,30,613.7042,1
"Around the world",1,3,15,13,1,11,12,56,305.8,7
"magic school bus Holiday special",1,4,15,46,1,11,13,3,333.72,6
"Schoolhouse rock Multiplication rock",1,4,17,53,1,11,13,35,513.213,6
"Birds rodents",1,5,14,52,1,11,14,19,598,5
"Land sea air adventures",1,9,13,38,1,11,16,0,623.8245,2
"Sid the science kid Sid in motion",1,5,16,9,1,11,16,27,500,6
"Rock n learn Human body",1,6,13,34,1,11,16,52,612,5
"magic school bus Space adventures",1,6,13,34,1,11,16,54,523,5
Skeleton,1,6,13,34,1,11,16,56,573.76,5
"Kids can play keyboard",1,2,17,23,1,11,17,21,786.193,8
"Mary Cassatt",1,8,14,55,1,11,17,21,759.13,3
"Families of Mexico",1,8,14,55,1,11,17,26,972.0836,3
"British Isles",1,8,14,55,1,11,17,27,914.1,3
"Living room magic Volume 1",1,8,14,56,1,11,17,27,793.8,3
"world of learning Volume 2",1,9,15,43,1,12,11,5,629.13334,2
"Phonics 4 babies Babys first words",1,4,17,24,1,12,11,23,649.68,7
"Ellington was not a street",1,5,13,51,1,12,11,40,811.54,6
"Hey what about me",1,5,15,36,1,12,11,52,306.875,6
"Wiggles Its always Christmas with you",1,9,12,16,1,12,12,48,782.42083,3
"Meet the sight words 1",1,7,16,36,1,12,13,4,372.462,4
"science of Disney imagineering Designs and models",1,3,14,2,1,12,13,32,620.004,8
"Early start Mandarin Chinese Volume 1 Colors and animals",1,5,15,33,1,12,13,34,495.18342,6
"Early start Mandarin Chinese Volume 2 Numbers and fruits",1,5,15,33,1,12,13,34,495.18342,6
"magic school bus Super sports fun",1,7,15,37,1,12,13,37,530,4
"May I pet your dog the how to guide for kids meeting dogs and dogs meeting kids",1,7,15,37,1,12,13,42,636.70893,4
"I love airplanes",1,10,16,38,1,12,14,5,629.133,1
"All about the police",1,5,11,17,1,12,14,5,363.20973,7
"Amazing North America",1,5,16,51,1,12,14,12,591.97,6
"Wonders down under",1,5,16,52,1,12,14,12,591.994,6
"Revolutionary War heroes",1,5,15,57,1,12,14,14,973.2,6
"Im a potty pirate potty training for boys",1,2,16,52,1,12,14,41,649.62,9
"Arabic for babies toddlers and preschoolers Disc 2 Wake up smiling",1,6,14,24,1,12,14,49,492.7071,6
"Arabic for babies toddlers and preschoolers Disc 3 Playtime",1,6,14,24,1,12,14,49,492.7071,6
"Mighty machines Lights ladders",1,7,17,7,1,12,14,52,629.224,4
"Sid the science kid Sid in motion",1,7,19,30,1,12,15,15,500,4
"Globe toddlers Adventures in Mexico",1,12,11,26,1,12,15,20,468.2421,0
"Humanoid robots",1,7,17,7,1,12,15,27,629.892,4
"Lets talk geography maps and globes",1,5,14,29,1,12,15,54,912,7
"Wild about safety Safety smart about fire",1,10,18,39,1,12,15,55,363.377,1
"Space exploration",1,5,15,50,1,12,16,7,629.4,7
"Sid the science kid Going going green",1,11,17,42,1,12,16,12,791.4575,0
"Activity TV Cooking snacks",1,11,17,42,1,12,16,13,641.5123,0
"Families of Afghanistan",1,8,18,44,1,12,16,20,958.1,3
"Party day",1,2,17,0,1,12,16,42,782.42083,9
"Wiggles Top of the tots",1,7,14,30,1,12,16,45,782.42083,5
"Wiggles Sing a song of Wiggles",1,7,14,31,1,12,16,45,782.42083,5
"Go potty go potty training for tiny toddlers",1,9,17,8,1,12,16,53,649.62,2
"Im a potty pirate potty training for boys",1,9,17,9,1,12,16,53,649.62,2
"Families of Korea",1,10,13,23,1,12,17,6,951.9043,2
"Predator and prey",1,2,15,58,1,12,17,26,591.53,10
"animated Passion for the whole family",1,4,16,48,1,12,17,44,232.96,8
"Mister Rogers neighborhood What do you do with the mad that you feel",1,9,14,57,1,13,13,10,152.47,3
"You can heal your life the movie",1,10,18,50,1,13,13,12,158,2
"Kidz bop Dance moves",1,5,13,29,1,13,14,15,793.3,8
"Just kickin it",1,3,10,51,1,13,14,26,796.3342,10
Cat,1,3,16,49,1,13,14,28,599.75,9
"Families of Korea",1,9,14,44,1,13,15,8,951.9043,4
"Smell my world",1,3,12,43,1,13,15,9,612.86,10
"Danger Rangers Mission 547 safety rules",1,9,19,13,1,13,15,30,613.6,3
"Puppytown Growing up",1,9,19,13,1,13,15,31,636.73,3
"Between the lions The popcorn popper",1,6,14,15,1,13,15,44,372.465,7
"Animal atlas Animal passport",1,7,12,48,1,13,16,5,590.96,6
"Signing time Series 2 volume 12 Box of crayons",1,5,17,25,1,13,16,6,419.7,7
"Letters reading",1,5,17,25,1,13,16,6,372.4,7
"Words reading",1,5,17,25,1,13,16,6,372.4,7
"Happy to be nappy and other stories of me",1,8,19,17,1,13,16,13,305.908,4
"Addition subtraction",1,9,17,25,1,14,10,1,513.21,4
"Animal atlas Animal passport",1,11,10,22,1,14,10,11,590.96,2
"Wiggles Lets eat",1,11,10,23,1,14,10,12,782.42083,2
"Animal atlas Superhero animals",1,11,10,23,1,14,10,13,590,2
"Here come the ABCs",1,9,12,11,1,14,10,13,782.42083,4
"Wiggles Racing to the rainbow",1,3,11,19,1,14,10,32,782.42083,10
"Ready for science and geography",1,2,15,54,1,14,11,21,372.8,11
"Lots lots of jets and planes Vol 2 Adventures in the air",1,7,14,53,1,14,12,3,629.13334,6
"John Deere earth mover action",1,5,15,10,1,14,13,3,629.225,8
"Learn hip hop step by step",1,10,15,29,1,14,13,7,782.42164,3
"Fizzys lunch lab Fresh foods 101",1,2,15,44,1,14,13,32,613.2,11
Migration,1,9,12,9,1,14,13,35,591.568,5
"Families of Israel",1,13,13,29,1,14,13,38,956.54,1
Cat,1,3,13,57,1,14,13,42,599.75,10
"Im a potty princess potty training for girls",1,2,14,19,1,14,14,2,649.62,11
"Lots lots of jets and planes Vol 3 Jumbo jets in action",1,2,14,19,1,14,14,17,629.13334,11
"Train crazy kids",1,2,14,18,1,14,14,18,625.2,12
"Road construction ahead 2",1,2,14,18,1,14,14,18,625.725,12
"Lots lots of fire trucks Vol 2 Amazing rescue rigs",1,2,14,17,1,14,14,21,628.9259,12
"John Deere action 2",1,2,14,17,1,14,14,22,629.2252,12
Earthquakes,1,7,11,41,1,14,14,39,551.22,7
Migration,1,2,14,52,1,14,14,40,591.568,11
"Probability statistics",1,7,13,28,1,14,15,50,519.2,7
"Free to be you and me",1,8,12,42,1,14,16,15,810.8,6
"Im a potty princess potty training for girls",1,9,15,41,1,14,16,22,649.62,5
"National park animals for kids",1,7,16,56,1,14,16,32,590.0973,6
"Swan lake",1,7,12,31,1,14,16,34,792.842,7
Nutcracker,1,7,12,31,1,14,16,37,792.842,7
"All about the human life cycle",1,7,16,56,1,14,16,37,612.6,6
"Origami fun for kids",1,3,16,48,1,14,16,39,736.982,10
"Kids Ten Commandments the complete collection",1,3,17,22,1,14,16,40,241.52,10
"Japanese Disc 1 Eating and drinking",1,3,13,53,1,14,16,56,495.68342,11
"Japanese Disc 3 Playtime",1,3,13,53,1,14,16,58,495.68342,11
"English ESL 2 Wake up smiling",1,3,13,52,1,14,16,58,428.3461,11
"Japanese Disc 2 Wake up smiling",1,3,13,53,1,14,16,58,495.68342,11
"Predator and prey",1,3,13,52,1,14,16,58,591.53,11
"All about the human life cycle",1,3,13,52,1,14,16,58,612.6,11
"Silly songs sing a long",1,3,13,52,1,14,16,58,782.42083,11
"Families of Korea",1,10,16,37,1,14,16,59,951.9043,4
"Kool Kids sing a long",1,8,15,2,1,14,17,5,782.42083,6
"Linnea in Monets garden",1,8,15,29,1,14,17,35,759.4,6
"Sid the science kid Sids sense ational adventures",1,3,18,12,1,14,17,42,500,10
"magic school bus Super sports fun",1,7,16,45,1,14,18,8,530,7
Gravity,1,3,17,9,1,14,18,14,531.14,11
Forensics,1,3,17,9,1,14,18,14,363.25,11
Caves,1,3,17,9,1,14,18,22,551.447,11
"Miss Christys Dance adventure",1,9,17,35,1,14,18,32,793.3083,5
"Families of Russia",1,11,17,9,1,14,19,7,947.086,3
"1st 7th grade math tutor 7 hour video course",1,4,11,44,1,14,19,29,513.2,10
"Baby boost Nursery rhymes",1,4,11,44,1,14,19,29,782.42083,10
"Animal atlas Animal 123s",1,4,11,44,1,14,19,29,513.5,10
Weather,1,2,15,35,1,14,19,47,551.5,12
"All about bones muscles",1,2,15,35,1,14,19,48,612.75,12
"Human machine Bodyzone",1,2,15,35,1,14,19,48,612,12
"Meerkat manor Season one",1,9,17,58,1,14,19,50,599.742,5
"magic school bus Bugs bugs bugs",1,9,15,10,1,15,10,22,595.7,5
Gravity,1,3,13,3,1,15,10,22,531.14,11
"emperors egg",1,10,16,48,1,15,10,35,598.47,4
"Once upon a potty for him",1,3,12,3,1,15,10,37,649.62,11
"Fun on the farm introducing Doodle the Rooster and his animated friends",1,3,12,3,1,15,10,37,630.68,11
"Sid the science kid Sids backyard campout",1,7,10,9,1,15,10,44,796.54,8
"Podna and Podni a story from Pakistan",1,7,10,9,1,15,10,44,398.20954,8
"scrambled states of America and more stories to celebrate our country",1,6,13,11,1,15,10,47,973,8
"magic school bus Holiday special",1,4,12,18,1,15,10,47,333.72,10
"French 3 Playtime",1,3,11,19,1,15,11,3,448.3421,11
"All about trucks",1,7,18,7,1,15,11,22,629.224,7
"shepherdess and the chimney sweep",1,2,13,51,1,15,12,3,398.20948,12
"three sisters who fell into the mountain a story from Norway",1,2,13,51,1,15,12,3,398.20948,12
"little primaballerina ballet training for children",1,7,16,26,1,15,12,18,792.8,7
"Kidz bop Dance moves",1,2,13,11,1,15,12,44,793.3,12
"Schoolhouse rock",1,5,17,46,1,15,13,2,372,9
"Sid the science kid Sid in motion",1,8,13,28,1,15,13,4,500,6
"Im a potty pirate potty training for boys",1,10,12,33,1,15,13,21,649.62,5
"Sid the science kid Weather kid Sid",1,3,11,44,1,15,13,35,551.5,12
"Blast off a kids introduction to the space program",1,4,11,37,1,15,13,40,629.40973,11
"Wild about safety Safety smart about fire",1,8,12,4,1,15,13,41,363.377,7
"I love airplanes",1,8,12,4,1,15,13,41,629.133,7
"Lots lots of fire songs safety tips",1,8,12,4,1,15,13,41,363.377,7
"Peep and the big wide world Chirp flies",1,14,11,1,1,15,13,42,372.35,1
"John Deere action 3",1,2,11,24,1,15,13,52,629.2252,13
"Mom Dad me aprendemos EspaÂ¤ol",1,8,12,51,1,15,14,1,468.3421,7
"Humanoid robots",1,2,12,56,1,15,14,1,629.892,13
"Lots lots of trains Vol 1 Smokin steam diesel",1,2,14,2,1,15,14,9,625.2,13
"I love toy trains Parts 4 5 6",1,2,11,24,1,15,14,18,625.19,13
"Baby boost Nursery rhymes",1,4,16,47,1,15,14,25,782.42083,10
"Big fins",1,4,16,48,1,15,14,29,591.77,10
"Land sea air adventures",1,13,14,50,1,15,14,37,623.8245,1
"Rock n learn Earth science",1,6,15,51,1,15,14,42,550,8
"Lets have a playdate with Brahms",1,2,11,59,1,15,15,10,784.42083,13
"Swan lake",1,2,11,59,1,15,15,10,792.842,13
"Elmos potty time",1,3,11,36,1,15,15,46,649.62083,12
"Lots lots of jets and planes Vol 3 Jumbo jets in action",1,8,15,52,1,15,15,46,629.13334,6
"Animal atlas Family time",1,3,15,57,1,15,15,47,590,11
Reptile,1,3,15,57,1,15,15,47,597.957,11
Michelangelo,1,4,15,14,1,15,15,54,759.5,11
"world of learning Volume 2",1,12,11,17,1,15,16,14,629.13334,3
"Fun on the farm 2",1,12,11,17,1,15,16,14,630,3
"John Deere action 2",1,12,11,17,1,15,16,14,629.2252,3
"Lots lots of big trains Vol 1 Giant railroad action",1,6,15,11,1,15,17,12,625.2,9
"Buster loves music",1,3,11,51,1,15,17,37,780,12
"Rock n learn Multiplication rap",1,9,13,7,1,15,17,38,513.213,6
"Hola amigos Volume 1",1,13,16,49,1,15,17,40,468.3421,2
"Meet the colors",1,2,14,45,1,15,17,53,535.6,13
"Addition subtraction rock",1,9,13,8,1,15,18,16,513.21,6
"Hot potatoes the best of the Wiggles",1,14,17,56,1,15,18,18,782.42083,1
"iKnow animals letters sounds Vol 2",1,2,19,11,1,15,18,39,372.465,12
"Rock n learn Alphabet circus",1,2,19,11,1,15,18,39,372.465,12
"Babies toddlers",1,6,16,23,1,15,19,9,419,9
"Baby sign language basics",1,6,16,24,1,15,19,9,419,9
"ventures with Wink Blink A day in the life of a firefighter",1,8,11,3,1,15,19,20,363.37092,7
"Families of Thailand",1,11,17,9,1,15,19,45,959.3,4
"Wiggles Ukulele baby",1,12,12,18,1,15,19,48,791.42083,3
"Yay Planes",1,2,11,25,1,16,10,18,629.1333,13
"Baby signing time Volume 2",1,2,11,26,1,16,10,18,419,13
"Wiggles Here comes the big red car",1,2,11,25,1,16,10,18,782.42083,13
"Arctic tale",1,14,11,22,1,16,10,35,599.786,1
"Kids Ten Commandments the complete collection",1,13,13,11,1,16,11,8,241.52,2
"Lots lots of trucks Vol 2 Mighty tough trucks",1,3,12,27,1,16,12,43,629.224,13
"Mighty machines Machines on the job",1,3,12,27,1,16,12,43,621.8,13
"Road construction ahead 2",1,2,16,45,1,16,13,42,625.725,13
"way things work Sensors",1,12,14,55,1,16,14,33,681.2,3
"way things work Ballooning",1,10,14,53,1,16,14,33,629.13322,5
"way things work Sinking",1,12,14,55,1,16,14,33,623.8205,3
"Time for manners Vol 2 Table time",1,2,14,54,1,16,14,54,395.54,14
India,1,2,14,54,1,16,14,54,305.8914,14
"Families of Korea",1,9,15,17,1,16,15,14,951.9043,6
"Families of Thailand",1,12,11,46,1,16,15,14,959.3,4
"My fantastic field trip to the planets",1,5,14,35,1,16,15,14,523.4,11
"Families of Ghana",1,12,11,46,1,16,15,16,966.7,4
"Families of Afghanistan",1,9,15,17,1,16,15,16,958.1,6
"Eyewitness Ocean",1,10,15,39,1,16,15,22,551.461,5
"world of learning Volume 2",1,4,15,0,1,16,15,40,629.13334,12
"Sid the science kid Sids sense ational adventures",1,11,17,15,1,16,16,8,500,4
"Fun with dance",1,2,15,18,1,16,16,12,796.13,14
"Yoga divas",1,2,15,18,1,16,16,12,613.7046,14
"Fizzys lunch lab Fresh foods 101",1,11,17,15,1,16,16,12,613.2,4
"Arabic for babies toddlers and preschoolers Disc 1 Eating and drinking",1,2,15,18,1,16,16,12,492.7071,14
"Alphabet phonics fun",1,2,15,18,1,16,16,12,411,14
"Fun in motion dance laugh learn about trucks cars trains planes boats",1,2,15,18,1,16,16,12,629.22,14
Subtraction,1,9,16,26,1,16,16,25,513.212,6
"Spanish Disc 5 Happy sad and silly",1,2,15,41,1,16,16,32,468.3421,14
"German for babies toddlers and preschoolers Disc 3 Playtime",1,2,15,41,1,16,16,32,438.3421,14
"best of the best of the Electric Company",1,11,12,14,1,16,17,1,372.414,5
"Sid the science kid Going going green",1,15,19,33,1,16,17,4,791.4575,0
"Arctic tale",1,2,12,12,1,16,17,6,599.786,14
"Baby signing time Volume 3 A new day",1,5,17,47,1,16,17,8,419,10
"Baby boost Nursery rhymes",1,2,17,3,1,16,17,8,782.42083,14
"Activity TV Cooking snacks",1,15,19,56,1,16,17,8,641.5123,0
"Signing time Volume 2 Playtime signs",1,5,17,46,1,16,17,9,419.7,10
"Signing time Volume 1 My first signs",1,5,17,46,1,16,17,9,419.7,10
"Cognitive beginnings",1,2,17,3,1,16,17,11,155.413,14
"Baby signing time Volume 4 Lets be friends",1,9,12,7,1,16,17,13,419,7
"Baby signing time Volume 2",1,5,17,47,1,16,17,14,419,10
"Learn French with Pânâlope Pezi Beginners level 1 volume 1",1,9,15,32,1,16,17,16,448.2421,7
"Zoboomafoo Pets",1,2,15,37,1,16,17,20,590,14
"Zoboomafoo Wild creatures furry fashion",1,2,15,37,1,16,17,20,590,14
"Dinosaur Georges guide to prehistoric life",1,2,15,37,1,16,17,20,567.9,14
"Spanish for kids Beginner level 1 volume 2",1,2,12,15,1,16,17,21,468.3421,14
Dog,1,2,15,37,1,16,17,27,599.77,14
"Ready for beginning math",1,5,14,12,1,16,17,31,372.7049,11
"Families of China",1,13,15,12,1,16,17,40,951,3
"Families of Ghana",1,13,15,12,1,16,17,40,966.7,3
"Families of Israel",1,13,15,12,1,16,17,40,956.54,3
"Whats in the Bible 1 In the beginning",1,2,12,11,1,16,18,33,220.61,14
"Lots lots of playful penguins and their toe tappin feet",1,2,12,12,1,16,18,36,598.47,14
"Budding ballerinas pre ballet with Mary Carpenter",1,2,12,11,1,16,18,36,792.8,14
"Wiggles Big big show",1,14,10,25,1,17,10,13,782.42083,2
"Farm life",1,14,10,25,1,17,10,13,630,2
"Kidz bop Dance moves",1,14,10,25,1,17,10,13,793.3,2
"Wiggles Its always Christmas with you",1,14,10,25,1,17,10,13,782.42083,2
"emperors egg",1,7,14,28,1,17,10,17,598.47,9
"Signing time Volume 2 Playtime signs",1,7,15,27,1,17,10,27,419.7,9
"Discovering colors Descubriendo los colores",1,3,12,12,1,17,10,51,535.6,13
"Spanish Disc 6 I can count",1,10,12,49,1,17,11,48,468.3421,6
"Spanish Disc 4 In my home",1,10,12,49,1,17,11,48,468.3421,6
"Spanish 2 Wake up smiling",1,10,12,49,1,17,11,48,468.3421,6
"Spanish Disc 5 Happy sad and silly",1,10,12,49,1,17,11,48,468.3421,6
"Life forms animals animal oddities",1,3,19,4,1,17,12,7,590,13
"Decimals percents",1,3,16,57,1,17,12,13,513.265,13
"science of Disney imagineering Magnetism",1,3,16,57,1,17,12,13,531.55,13
"Lots lots of trucks Vol 2 Mighty tough trucks",1,5,16,2,1,17,13,12,629.224,11
"best of the best of the Electric Company",1,5,16,39,1,17,13,17,372.414,11
Japan,1,5,15,31,1,17,13,17,915.2,11
"My fantastic field trip to the planets",1,5,16,39,1,17,13,17,523.4,11
"Wiggles You make me feel like dancing",1,2,11,51,1,17,14,44,201,15
"Be the creature The complete first season",1,11,11,14,1,17,14,51,590,6
"John Deere action Part one",1,10,12,27,1,17,15,6,629.2252,7
"Whats in the Bible 2 Let my people go",1,7,16,58,1,17,15,9,222.12,9
"Whats in the bible Vol 7 Exile and return Ezra Nehemiah Esther",1,7,16,56,1,17,15,15,221.9505,9
"Peep and the big wide world Peep finds",1,14,16,34,1,17,15,16,372.35,2
Horse,1,10,13,26,1,17,15,21,636.1,7
"Yoga by the dozen",1,10,13,26,1,17,15,21,613.7046,7
"Muzzy level II German",1,6,16,54,1,17,15,26,438.3421,10
"German for babies toddlers and preschoolers Disc 5 Happy sad and silly",1,6,16,54,1,17,15,27,438.3421,10
"German for babies toddlers and preschoolers Disc 2 Wake up smiling",1,6,16,54,1,17,15,27,438.3421,10
"German for babies toddlers and preschoolers Disc 6 I can count",1,6,16,54,1,17,15,27,438.3421,10
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",1,6,16,54,1,17,15,27,438.3421,10
"German for babies toddlers and preschoolers Disc 3 Playtime",1,6,16,54,1,17,15,27,438.3421,10
"Teaching signs for baby minds 3 Dictionary alphabet",1,14,17,51,1,17,15,28,419.7,2
"Preschool fun Letters numbers",1,14,17,51,1,17,15,28,201,2
"Teaching signs for baby minds 1 Everyday signs",1,14,17,51,1,17,15,28,419.7,2
"German for babies toddlers and preschoolers Disc 4 In my home",1,6,16,54,1,17,15,34,438.3421,10
"Body mechanics superheroes of the human body",1,2,14,24,1,17,15,34,612,15
"Animal atlas Animal 123s",1,7,14,19,1,17,15,43,513.5,10
"magic school bus Super sports fun",1,11,16,11,1,17,15,45,530,5
"magic school bus catches a wave",1,11,16,11,1,17,15,49,553.7,5
Canada,1,15,17,6,1,17,15,52,971,1
"Rock n learn Getting ready for kindergarten",1,3,14,3,1,17,16,6,372.218,14
"magic school bus catches a wave",1,3,11,42,1,17,16,7,553.7,14
"English ESL 2 Wake up smiling",1,10,12,4,1,17,16,7,428.3461,7
"Sid the science kid Gizmos and gadgets",1,7,13,16,1,17,16,7,621.8,10
"Chalo Hindi bolay",1,10,12,4,1,17,16,8,491.43834,7
"Lots lots of playful penguins and their toe tappin feet",1,14,16,39,1,17,16,19,598.47,2
"way things work Electricity",1,14,16,39,1,17,16,19,537,2
